hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B01,,0,2.44,61.6,2.5,5.01,3.9,0.06,,,,10
B01,,2.44,4.88,59.8,4.4,5.39,4.2,0.06,,,,12
B01,,4.88,6.4,61,4,5.27,3,0.06,,,,14
B01,,6.4,9.75,56.4,5.2,7.45,5.2,0.06,,,,16
B01,,9.75,11.89,63.8,2.2,2.4,3.8,0.04,,,,18
B01,,11.89,13.42,63.8,1.6,3.37,3.3,0.06,,,,20
B01,,13.42,16.17,63.9,1.8,3.52,2.8,0.06,,,,22
B01,,16.17,18.91,64.1,1.2,3.9,2.7,0.06,,,,24
B01,,18.91,20.43,64.8,2.6,2.8,2.5,0.06,,,,26
B01,,20.43,22.26,63,2,4.5,2.9,0.06,,,,28
B01,,22.26,24.4,66.2,2,2,2,0.04,,,,30
B01,,24.4,26.23,65,2.68,2.02,2.1,0.06,,,,32
B01,,26.23,28.67,66,1.58,2.14,1.8,0.04,,,,34
B01,,28.67,30.5,66.2,1.6,2.04,1.6,0.04,,,,36
B01,,30.5,32.33,62.8,4.3,2.9,2.5,0.06,,,,38
B01,,32.33,34.16,64.6,3.16,2.36,2,0.06,,,,40
B01,,34.16,36.59,64.8,4.46,1.11,1.65,0.05,,,,42
B01,,36.59,39.02,64.2,5.16,1.22,1.71,0.06,,,,44
B01,,39.02,41.44,65.6,2,2.07,1.9,0.05,,,,46
B01,,41.44,43.24,66,2.6,1,1.9,0.04,,,,48
B01,,43.24,45.06,64.4,2.84,1.23,3.6,0.04,,,,50
B01,,45.06,46.86,64.1,3.5,1.29,3.3,0.04,,,,52
B01,,46.86,48.96,64.4,6.12,2.21,3.2,0.04,,,,54
B01,,48.96,51.06,64,4.16,1.2,2.85,0.06,,,,56
B01,,51.06,53.56,64.2,2.08,2.34,3.37,0.08,,,,58
B01,,53.56,55.36,65.2,1.96,1.31,3.39,0.06,,,,60
B01,,55.36,57.76,63,3.16,1.1,5.51,0.06,,,,62
B01,,57.76,59.61,60.8,8.85,1.06,2.75,0.08,,,,64
B01,,59.61,62.76,63.6,3.2,1.87,3.68,0.06,,,,66
B01,,62.76,64.26,64.2,2,1,5.07,0.07,,,,68
B01,,64.26,66.41,61.6,4.24,3.37,4.8,0.04,,,,70
