hole_id,y,x,z,max_depth,hole_path
B01,100,50,856.66,82.95,linear
B02,0,0,871.82,75.65,linear
B03,0,100,845.79,130.9,linear
B04,100,-50,874.81,10.05,linear
B05,0,-50,875.66,92.95,linear
B06,190,0,869.07,6.4,linear
B07,200,0,868.23,13.05,linear
B08,300,-50,866.23,93.49,linear
B09,0,-90,865.68,91.8,linear
B10,100,150,834.67,89.02,linear
B11,300,50,858.11,30.49,linear
B12,200,-100,875.75,57,linear
B13,400,0,856.17,93.85,linear
B14,100,100,848.73,105.8,linear
B15,400,-100,853.56,80.8,linear
B16,400,110,840.16,79.95,linear
B17,300,150,833.21,41.8,linear
B18,400,200,815.54,83.85,linear
B19,0,180,824.04,91.64,linear
B20,-200,0,832.84,64.95,linear
B21,-500,50,835.25,61.61,linear
B22,-600,0,844.07,89.92,linear
B23,-500,150,834.96,74.7,linear
B24,-500,-50,864.54,41.83,linear
B25,-500,-150,874.15,45.75,linear
B26,-400,-90,867.47,54.65,linear
B27,-610,-90,874.59,64.35,linear
B28,-300,50,842.58,23.86,linear
B29,-100,-50,855.22,70.15,linear
B30,-100,50,856.05,66.12,linear
B31,-400,0,843.09,28.2,linear
B32,-600,-150,863.89,42.6,linear
B33,-400,-150,859.4,47.44,linear
B34,-300,-150,856.97,59.45,linear
B35,-100,-150,860.73,34.3,linear
B36,-200,-200,852.65,81.45,linear
B37,200,80,850.68,42.06,linear
B38A,-300,150,824.9,62.5,linear
B39B,-200,100,845.77,85.33,linear
B40,200,300,794.03,91.6,linear
B41,-200,-100,866.13,49.75,linear
B42,-400,200,830.68,98.2,linear
B43,-200,200,814.13,79.78,linear
B44,100,250,792.7,78.05,linear
B45,0,240,800.61,125.9,linear
B46,-300,240,820.78,91.5,linear
B47,-610,100,842.8,66.39,linear
B48,-700,-50,856.32,82.2,linear
B49,-300,-50,845.71,31.7,linear
B50,-400,100,824.93,47.25,linear
B51,-100,150,827.76,83.49,linear
B52,-700,-150,854.15,58.25,linear
B53,-700,50,850.05,87.46,linear
B54,-800,-90,870.82,30.2,linear
B55,400,260,777.39,70.15,linear
B56,-800,-190,870.08,21.55,linear
B57,-800,0,858.62,90,linear
B58,200,200,819.27,115.9,linear
B59,300,250,802.94,113.56,linear
B60,300,350,768.77,81.4,linear
B61,200,380,764.11,77.67,linear
B62,100,360,777.09,92.83,linear
B63,400,400,741.42,88.45,linear
B64,100,200,820.05,99.88,linear
B65,0,150,833.77,36.55,linear
B66,100,-150,857.72,86.9,linear
B67,0,-150,856.88,74.4,linear
B68,0,-100,862.01,60.39,linear
B69,-40,-110,864.16,51.5,linear
B70,170,-70,880.76,34.44,linear
B71,-145,-90,865.12,35.36,linear
