hole_id,depth,dip,azimuth
B01,82.95,-90,0
B02,75.65,-90,0
B03,130.9,-90,0
B04,10.05,-90,0
B05,92.95,-90,0
B06,6.4,-90,0
B07,13.05,-90,0
B08,93.49,-90,0
B09,91.8,-90,0
B10,89.02,-90,0
B11,30.49,-90,0
B12,57,-90,0
B13,93.85,-90,0
B14,105.8,-90,0
B15,80.8,-90,0
B16,79.95,-90,0
B17,41.8,-90,0
B18,83.85,-90,0
B19,91.64,-90,0
B20,64.95,-90,0
B21,61.61,-90,0
B22,89.92,-90,0
B23,74.7,-90,0
B24,41.83,-90,0
B25,45.75,-90,0
B26,54.65,-90,0
B27,64.35,-90,0
B28,23.86,-90,0
B29,70.15,-90,0
B30,66.12,-90,0
B31,28.2,-90,0
B32,42.6,-90,0
B33,47.44,-90,0
B34,59.45,-90,0
B35,34.3,-90,0
B36,81.45,-90,0
B37,42.06,-90,0
B38A,62.5,-90,0
B39B,85.33,-90,0
B40,91.6,-90,0
B41,49.75,-90,0
B42,98.2,-90,0
B43,79.78,-90,0
B44,78.05,-90,0
B45,125.9,-90,0
B46,91.5,-90,0
B47,66.39,-90,0
B48,82.2,-90,0
B49,31.7,-90,0
B50,47.25,-90,0
B51,83.49,-90,0
B52,58.25,-90,0
B53,87.46,-90,0
B54,30.2,-90,0
B55,70.15,-90,0
B56,21.55,-90,0
B57,90,-90,0
B58,115.9,-90,0
B59,113.56,-90,0
B60,81.4,-90,0
B61,77.67,-90,0
B62,92.83,-90,0
B63,88.45,-90,0
B64,99.88,-90,0
B65,36.55,-90,0
B66,86.9,-90,0
B67,74.4,-90,0
B68,60.39,-90,0
B69,51.5,-90,0
B70,34.44,-90,0
B71,35.36,-90,0
